ticket_id,opened_at,resolved_at,category,subcategory,service,ci,priority,assignment_group,short_description,mttr_minutes
INC202600000,2026-01-21 09:00:00,2026-01-21 10:27:00,Network,DNS,DNS Service,CI-DNS-CORE-01,P3,Network Ops,DNS related issue reported by user,87
INC202600001,2025-11-18 09:00:00,2025-11-18 09:52:00,Security,Account Lockout,SSO Platform,CI-SSO-01,P4,Security Ops,Account Lockout related issue reported by user,52
INC202600002,2026-01-15 14:00:00,2026-01-15 15:29:00,Network,VPN,VPN Service,CI-VPN-GW-01,P2,Network Ops,VPN related issue reported by user,89
INC202600003,2026-01-04 17:00:00,2026-01-04 20:16:00,Network,DNS,DNS Service,CI-DNS-CORE-01,P2,Network Ops,DNS related issue reported by user,196
INC202600004,2026-01-29 16:00:00,2026-01-29 17:41:00,Identity & Access,SSO,SSO Platform,CI-SSO-01,P3,Identity & Access Ops,SSO related issue reported by user,101
INC202600005,2025-11-01 10:00:00,2025-11-01 11:09:00,Security,EDR Alerts,EDR Platform,CI-EDR-01,P3,Security Ops,EDR Alerts related issue reported by user,69
INC202600006,2025-11-28 13:00:00,2025-11-28 15:01:00,Network,VPN,VPN Service,CI-VPN-GW-01,P3,Network Ops,VPN related issue reported by user,121
INC202600007,2025-12-15 17:00:00,2025-12-15 19:47:00,Collaboration,Email,Email Service,CI-MAIL-01,P3,Collaboration Ops,Email related issue reported by user,167
INC202600008,2025-11-16 14:00:00,2025-11-16 17:10:00,Network,DNS,DNS Service,CI-DNS-CORE-01,P3,Network Ops,DNS related issue reported by user,190
INC202600009,2026-01-19 13:00:00,2026-01-19 13:41:00,Business Apps,ERP,ERP,CI-ERP-01,P3,Business Apps Ops,ERP related issue reported by user,41
INC202600010,2026-01-24 11:00:00,2026-01-24 11:55:00,Collaboration,Email,Email Service,CI-MAIL-01,P4,Collaboration Ops,Email related issue reported by user,55
INC202600011,2025-12-19 12:00:00,2025-12-19 13:11:00,Identity & Access,Password Reset,Password Services,CI-PWD-01,P4,Identity & Access Ops,Password Reset related issue reported by user,71
INC202600012,2025-12-18 13:00:00,2025-12-18 16:24:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P3,End User Computing Ops,VDI related issue reported by user,204
INC202600013,2026-01-22 09:00:00,2026-01-22 12:36:00,Business Apps,CRM,CRM,CI-CRM-01,P2,Business Apps Ops,CRM related issue reported by user,216
INC202600014,2025-12-02 10:00:00,2025-12-02 13:13:00,Identity & Access,MFA,MFA Platform,CI-MFA-01,P3,Identity & Access Ops,MFA related issue reported by user,193
INC202600015,2026-01-28 16:00:00,2026-01-28 19:46:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P3,End User Computing Ops,VDI related issue reported by user,226
INC202600016,2025-11-08 11:00:00,2025-11-08 11:46:00,Network,WiFi,Corporate WiFi,CI-WIFI-CTRL-02,P3,Network Ops,WiFi related issue reported by user,46
INC202600017,2025-11-28 17:00:00,2025-11-28 19:37:00,Security,EDR Alerts,EDR Platform,CI-EDR-01,P3,Security Ops,EDR Alerts related issue reported by user,157
INC202600018,2025-12-21 18:00:00,2025-12-21 19:33:00,Identity & Access,SSO,SSO Platform,CI-SSO-01,P3,Identity & Access Ops,SSO related issue reported by user,93
INC202600019,2026-01-11 16:00:00,2026-01-11 18:59:00,Collaboration,Calendar,Calendar Service,CI-CAL-01,P3,Collaboration Ops,Calendar related issue reported by user,179
INC202600020,2025-12-22 13:00:00,2025-12-22 13:53:00,End User Computing,Endpoint Management,Endpoint Management,CI-EPM-01,P3,End User Computing Ops,Endpoint Management related issue reported by user,53
INC202600021,2025-11-07 09:00:00,2025-11-07 12:24:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P2,End User Computing Ops,VDI related issue reported by user,204
INC202600022,2025-12-25 17:00:00,2025-12-25 19:29:00,Network,WiFi,Corporate WiFi,CI-WIFI-CTRL-02,P3,Network Ops,WiFi related issue reported by user,149
INC202600023,2026-01-07 12:00:00,2026-01-07 12:59:00,Business Apps,ERP,ERP,CI-ERP-01,P3,Business Apps Ops,ERP related issue reported by user,59
INC202600024,2026-01-27 16:00:00,2026-01-27 17:45:00,Collaboration,Calendar,Calendar Service,CI-CAL-01,P3,Collaboration Ops,Calendar related issue reported by user,105
INC202600025,2025-12-26 10:00:00,2025-12-26 13:34:00,Identity & Access,SSO,SSO Platform,CI-SSO-01,P4,Identity & Access Ops,SSO related issue reported by user,214
INC202600026,2025-12-04 16:00:00,2025-12-04 19:10:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P4,End User Computing Ops,VDI related issue reported by user,190
INC202600027,2025-12-09 18:00:00,2025-12-09 20:05:00,Business Apps,CRM,CRM,CI-CRM-01,P2,Business Apps Ops,CRM related issue reported by user,125
INC202600028,2025-11-21 16:00:00,2025-11-21 18:35:00,Business Apps,ERP,ERP,CI-ERP-01,P3,Business Apps Ops,ERP related issue reported by user,155
INC202600029,2025-11-03 09:00:00,2025-11-03 10:31:00,Collaboration,Teams/Zoom,Collaboration Suite,CI-COLLAB-01,P3,Collaboration Ops,Teams/Zoom related issue reported by user,91
INC202600030,2026-01-12 09:00:00,2026-01-12 09:47:00,Network,DNS,DNS Service,CI-DNS-CORE-01,P3,Network Ops,DNS related issue reported by user,47
INC202600031,2026-01-08 10:00:00,2026-01-08 12:50:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P3,End User Computing Ops,VDI related issue reported by user,170
INC202600032,2025-11-22 12:00:00,2025-11-22 13:24:00,Business Apps,CRM,CRM,CI-CRM-01,P3,Business Apps Ops,CRM related issue reported by user,84
INC202600033,2026-01-09 11:00:00,2026-01-09 14:21:00,Security,EDR Alerts,EDR Platform,CI-EDR-01,P3,Security Ops,EDR Alerts related issue reported by user,201
INC202600034,2026-01-23 13:00:00,2026-01-23 14:33:00,Identity & Access,Password Reset,Password Services,CI-PWD-01,P3,Identity & Access Ops,Password Reset related issue reported by user,93
INC202600035,2025-11-29 09:00:00,2025-11-29 10:28:00,Collaboration,Email,Email Service,CI-MAIL-01,P3,Collaboration Ops,Email related issue reported by user,88
INC202600036,2026-01-15 11:00:00,2026-01-15 11:45:00,Network,VPN,VPN Service,CI-VPN-GW-01,P3,Network Ops,VPN related issue reported by user,45
INC202600037,2025-11-30 09:00:00,2025-11-30 10:30:00,Network,WiFi,Corporate WiFi,CI-WIFI-CTRL-02,P2,Network Ops,WiFi related issue reported by user,90
INC202600038,2025-12-06 18:00:00,2025-12-06 21:35:00,Identity & Access,SSO,SSO Platform,CI-SSO-01,P3,Identity & Access Ops,SSO related issue reported by user,215
INC202600039,2026-01-13 17:00:00,2026-01-13 20:56:00,Identity & Access,SSO,SSO Platform,CI-SSO-01,P3,Identity & Access Ops,SSO related issue reported by user,236
INC202600040,2025-12-23 11:00:00,2025-12-23 13:00:00,Network,VPN,VPN Service,CI-VPN-GW-01,P3,Network Ops,VPN related issue reported by user,120
INC202600041,2025-12-25 14:00:00,2025-12-25 17:17:00,Identity & Access,Password Reset,Password Services,CI-PWD-01,P2,Identity & Access Ops,Password Reset related issue reported by user,197
INC202600042,2026-01-22 09:00:00,2026-01-22 12:54:00,Network,WiFi,Corporate WiFi,CI-WIFI-CTRL-02,P3,Network Ops,WiFi related issue reported by user,234
INC202600043,2025-11-14 11:00:00,2025-11-14 12:05:00,End User Computing,Endpoint Management,Endpoint Management,CI-EPM-01,P3,End User Computing Ops,Endpoint Management related issue reported by user,65
INC202600044,2025-12-25 10:00:00,2025-12-25 10:49:00,Collaboration,Teams/Zoom,Collaboration Suite,CI-COLLAB-01,P3,Collaboration Ops,Teams/Zoom related issue reported by user,49
INC202600045,2025-12-27 16:00:00,2025-12-27 18:48:00,Network,VPN,VPN Service,CI-VPN-GW-01,P3,Network Ops,VPN related issue reported by user,168
INC202600046,2025-11-02 09:00:00,2025-11-02 11:33:00,End User Computing,Endpoint Management,Endpoint Management,CI-EPM-01,P3,End User Computing Ops,Endpoint Management related issue reported by user,153
INC202600047,2025-11-28 14:00:00,2025-11-28 16:09:00,Network,VPN,VPN Service,CI-VPN-GW-01,P3,Network Ops,VPN related issue reported by user,129
INC202600048,2025-12-04 15:00:00,2025-12-04 18:37:00,Collaboration,Teams/Zoom,Collaboration Suite,CI-COLLAB-01,P3,Collaboration Ops,Teams/Zoom related issue reported by user,217
INC202600049,2026-01-11 18:00:00,2026-01-11 19:45:00,Security,EDR Alerts,EDR Platform,CI-EDR-01,P2,Security Ops,EDR Alerts related issue reported by user,105
INC202600050,2025-11-28 08:00:00,2025-11-28 11:41:00,Business Apps,CRM,CRM,CI-CRM-01,P3,Business Apps Ops,CRM related issue reported by user,221
INC202600051,2025-12-11 08:00:00,2025-12-11 10:45:00,Network,DNS,DNS Service,CI-DNS-CORE-01,P3,Network Ops,DNS related issue reported by user,165
INC202600052,2025-11-21 08:00:00,2025-11-21 08:47:00,Business Apps,ERP,ERP,CI-ERP-01,P4,Business Apps Ops,ERP related issue reported by user,47
INC202600053,2026-01-16 09:00:00,2026-01-16 11:55:00,Security,Phishing,Security Awareness,CI-SEC-AWARE-01,P3,Security Ops,Phishing related issue reported by user,175
INC202600054,2025-12-02 17:00:00,2025-12-02 19:17:00,Business Apps,ERP,ERP,CI-ERP-01,P3,Business Apps Ops,ERP related issue reported by user,137
INC202600055,2026-01-24 17:00:00,2026-01-24 18:36:00,Business Apps,CRM,CRM,CI-CRM-01,P3,Business Apps Ops,CRM related issue reported by user,96
INC202600056,2025-11-27 18:00:00,2025-11-27 20:11:00,Security,EDR Alerts,EDR Platform,CI-EDR-01,P3,Security Ops,EDR Alerts related issue reported by user,131
INC202600057,2025-11-17 18:00:00,2025-11-17 21:42:00,Security,EDR Alerts,EDR Platform,CI-EDR-01,P3,Security Ops,EDR Alerts related issue reported by user,222
INC202600058,2025-11-10 08:00:00,2025-11-10 08:55:00,Identity & Access,Password Reset,Password Services,CI-PWD-01,P4,Identity & Access Ops,Password Reset related issue reported by user,55
INC202600059,2025-11-10 16:00:00,2025-11-10 17:59:00,End User Computing,VDI,VDI Platform,CI-VDI-POOL-01,P3,End User Computing Ops,VDI related issue reported by user,119
INC202600060,2025-11-09 11:00:00,2025-11-09 13:49:00,Collaboration,Teams/Zoom,Collaboration Suite,CI-COLLAB-01,P2,Collaboration Ops,Teams/Zoom related issue reported by user,169
INC202600061,2025-12-09 17:00:00,2025-12-09 20:59:00,Security,Account Lockout,SSO Platform,CI-SSO-01,P1,Security Ops,Account Lockout related issue reported by user,239
INC202600062,2026-01-10 12:00:00,2026-01-10 13:04:00,Security,Phishing,Security Awareness,CI-SEC-AWARE-01,P4,Security Ops,Phishing related issue reported by user,64
INC202600063,2025-12-04 09:00:00,2025-12-04 10:39:00,Network,DNS,DNS Service,CI-DNS-CORE-01,P3,Network Ops,DNS related issue reported by user,99
